,Fold selected features,Fold nb of features
Fold 23,"['CD8_T_cells_FoxP3+_glandfront_area', 'CD4_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_HLA-DR+_glandfront_area', 'CD8_T_cells_HLA-DR+_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'CD8_T_cells_CD80_CD86+_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_area', 'Stroma_vascular_endothelium_glandfront_area', 'Stroma_fibroblast_glandfront_area', 'NK_cells_CD56brCD16-_glandfront_area', 'NK_cells_CD56brCD16-_stromal_area', 'NK_cells_CD56dimCD16+_glandfront_area', 'NK_cells_CD56dimCD16+CD9hi_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M1-like_stromal_area', 'Macrophages_M1_M2_stromal_area', 'Dendritic_Cells_CD33+_glandfront_area', 'Dendritic_Cells_CD209CD33dp_stromal_area', 'Neutrophils_glandfront_area', 'NKT_glandfront_area', 'aSMA-br_mesenchymal_stromal_area', 'Gland_fibroblast_glandfront_area', 'Gland_vascular_endothelium_glandfront_area', 'CD4_T_cells_HLA-DR+_stromal_eccentricity', 'CD8_T_cells_HLA-DR+_intragland_eccentricity', 'CD8_T_cells_HLA-DR+_stromal_eccentricity', 'CD4_T_cells_CD80_CD86+_stromal_eccentricity', 'CD4_T_cells_CD11b+_stromal_eccentricity', 'CD8_T_cells_CD11b+_glandfront_eccentricity', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'Macrophages_MDSC_glandfront_eccentricity', 'Dendritic_Cells_CD33+_stromal_eccentricity', 'Gland_fibroblast_intragland_eccentricity', 'NA_glandfront_eccentricity', 'NA_stromal_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'CD8_T_cells_CD11b+_glandfront_celldistance', 'Macrophages_MDSC_glandfront_celldistance', 'Dendritic_Cells_CD33+_glandfront_celldistance', 'Dendritic_Cells_CD209CD86dp_glandfront_celldistance', 'aSMA-br_fibroblast_glandfront_celldistance', 'aSMA-br_vascular_endothelium_glandfront_celldistance']",42
Fold 24,"['CD8_T_cells_CD80_CD86+_stromal_area', 'aSMA-br_mesenchymal_stromal_area', 'Stroma_fibroblast_glandfront_eccentricity', 'Macrophages_MDSC_glandfront_eccentricity', 'Dendritic_Cells_CD86CD33dp_glandfront_eccentricity', 'Gland_mesenchymal_intragland_eccentricity']",6
Fold 25,"['Stroma_vascular_endothelium_stromal_area', 'NK_cells_CD56dimCD16+_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M1_M2_stromal_area', 'NKT_glandfront_area', 'Gland_fibroblast_glandfront_area', 'Stroma_fibroblast_glandfront_eccentricity']",8
Fold 26,"['CD4_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_HLA-DR+_stromal_area', 'NKT_glandfront_area', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",4
Fold 27,"['NKT_glandfront_area', 'Stroma_fibroblast_glandfront_eccentricity', 'Macrophages_MDSC_glandfront_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",4
Fold 28,"['CD8_T_cells_FoxP3+_intragland_area', 'CD8_T_cells_FoxP3+_stromal_area', 'CD4_T_cells_HLA-DR+_glandfront_area', 'CD4_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_HLA-DR+_intragland_area', 'CD8_T_cells_HLA-DR+_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'CD8_T_cells_CD80_CD86+_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_area', 'CD8_T_cells_CD11b+_glandfront_area', 'Stroma_vascular_endothelium_glandfront_area', 'NK_cells_CD56brCD16-_glandfront_area', 'NK_cells_CD56dimCD16+_intragland_area', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M1_M2_glandfront_area', 'Macrophages_M1_M2_stromal_area', 'Dendritic_Cells_CD86+_intragland_area', 'Dendritic_Cells_CD86CD33dp_glandfront_area', 'NKT_glandfront_area', 'aSMA-br_fibroblast_glandfront_area', 'aSMA-br_mesenchymal_stromal_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'Gland_fibroblast_glandfront_area', 'Gland_fibroblast_intragland_area', 'Gland_vascular_endothelium_glandfront_area', 'NA_stromal_area', 'CD8_T_cells_FoxP3+_glandfront_eccentricity', 'CD8_T_cells_FoxP3+_stromal_eccentricity', 'CD4_T_cells_HLA-DR+_glandfront_eccentricity', 'CD4_T_cells_HLA-DR+_stromal_eccentricity', 'CD4_T_cells_CD80_CD86+_glandfront_eccentricity', 'CD8_T_cells_CD11b+_glandfront_eccentricity', 'Stroma_vascular_endothelium_glandfront_eccentricity', 'Stroma_vascular_endothelium_stromal_eccentricity', 'Stroma_fibroblast_glandfront_eccentricity', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'Macrophages_MDSC_glandfront_eccentricity', 'Dendritic_Cells_CD209CD86dp_stromal_eccentricity', 'Dendritic_Cells_CD86CD33dp_stromal_eccentricity', 'aSMA-br_fibroblast_glandfront_eccentricity', 'aSMA-br_mesenchymal_glandfront_eccentricity', 'Gland_mesenchymal_intragland_eccentricity', 'Gland_fibroblast_intragland_eccentricity', 'Gland_vascular_endothelium_stromal_eccentricity', 'NA_glandfront_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'CD8_T_cells_FoxP3+_glandfront_celldistance', 'CD4_T_cells_CD80_CD86+_glandfront_celldistance', 'Stroma_mesenchymal_glandfront_celldistance', 'Stroma_vascular_endothelium_glandfront_celldistance', 'NK_cells_CD56brCD16-CD9hi_glandfront_celldistance', 'Dendritic_Cells_CD33+_glandfront_celldistance', 'Dendritic_Cells_CD209CD86dp_glandfront_celldistance', 'Neutrophils_glandfront_celldistance', 'aSMA-br_vascular_endothelium_glandfront_celldistance', 'Gland_vascular_endothelium_glandfront_celldistance']",57
Fold 29,"['CD8_T_cells_FoxP3+_glandfront_area', 'NKT_glandfront_area', 'NA_glandfront_area', 'Stroma_fibroblast_glandfront_eccentricity', 'Dendritic_Cells_CD86CD33dp_glandfront_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'CD4_T_cells_CD80_CD86+_glandfront_celldistance']",7
Fold 30,"['aSMA-br_fibroblast_glandfront_eccentricity', 'Gland_mesenchymal_intragland_eccentricity']",2
Fold 31,"['CD8_T_cells_HLA-DR+_stromal_area', 'Macrophages_M1-like_glandfront_area', 'CD4_T_cells_HLA-DR+_stromal_eccentricity', 'Macrophages_MDSC_glandfront_eccentricity', 'Gland_mesenchymal_intragland_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'CD4_T_cells_CD80_CD86+_glandfront_celldistance']",7
Fold 32,"['NK_cells_CD56brCD16-TIM3hi_stromal_area', 'NKT_glandfront_area', 'Gland_vascular_endothelium_glandfront_area']",3
Fold 33,"['CD8_T_cells_FoxP3+_glandfront_area', 'CD8_T_cells_FoxP3+_stromal_area', 'NK_cells_CD56brCD16-_glandfront_area', 'NK_cells_CD56dimCD16+_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Dendritic_Cells_CD86CD33dp_glandfront_area', 'NKT_glandfront_area', 'aSMA-br_fibroblast_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'CD4_T_cells_HLA-DR+_stromal_eccentricity', 'Stroma_fibroblast_glandfront_eccentricity', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'Dendritic_Cells_CD86+_glandfront_eccentricity', 'Dendritic_Cells_CD86+_intragland_eccentricity', 'Gland_mesenchymal_intragland_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'CD8_T_cells_CD80_CD86+_glandfront_celldistance', 'Macrophages_M1_M2_glandfront_celldistance', 'Macrophages_MDSC_glandfront_celldistance']",19
Fold 34,"['Macrophages_M1_M2_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",3
Fold 35,"['NKT_glandfront_area', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'Gland_vascular_endothelium_glandfront_celldistance']",3
Fold 36,"['CD4_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_HLA-DR+_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_area', 'CD8_T_cells_CD11b+_glandfront_area', 'Stroma_vascular_endothelium_glandfront_area', 'Stroma_vascular_endothelium_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_intragland_area', 'Macrophages_M1-like_stromal_area', 'Macrophages_M1_M2_stromal_area', 'Dendritic_Cells_CD86CD33dp_glandfront_area', 'NKT_glandfront_area', 'aSMA-br_fibroblast_glandfront_area', 'aSMA-br_mesenchymal_stromal_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'Gland_vascular_endothelium_glandfront_area', 'CD4_T_cells_HLA-DR+_glandfront_eccentricity', 'CD4_T_cells_HLA-DR+_stromal_eccentricity', 'Stroma_fibroblast_glandfront_eccentricity', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'Macrophages_MDSC_glandfront_eccentricity', 'Dendritic_Cells_CD86CD33dp_glandfront_eccentricity', 'aSMA-br_fibroblast_glandfront_eccentricity', 'Gland_mesenchymal_intragland_eccentricity', 'Gland_fibroblast_intragland_eccentricity', 'CD8_T_cells_CD80_CD86+_glandfront_celldistance', 'Dendritic_Cells_CD33+_glandfront_celldistance', 'aSMA-br_vascular_endothelium_glandfront_celldistance', 'Gland_vascular_endothelium_glandfront_celldistance']",30
Fold 37,"['CD8_T_cells_FoxP3+_stromal_area', 'CD4_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_CD11b+_glandfront_area', 'Stroma_vascular_endothelium_stromal_area', 'NK_cells_CD56brCD16-_glandfront_area', 'NK_cells_CD56dimCD16+_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'Macrophages_M1_M2_glandfront_area', 'Macrophages_M1_M2_stromal_area', 'Dendritic_Cells_CD86CD33dp_glandfront_area', 'Dendritic_Cells_CD86CD33dp_stromal_area', 'Neutrophils_glandfront_area', 'NKT_glandfront_area', 'aSMA-br_mesenchymal_stromal_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'Gland_fibroblast_glandfront_area', 'Gland_vascular_endothelium_glandfront_area', 'CD8_T_cells_FoxP3+_stromal_eccentricity', 'CD4_T_cells_HLA-DR+_stromal_eccentricity', 'CD8_T_cells_CD80_CD86+_glandfront_eccentricity', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'Macrophages_M1_M2_stromal_eccentricity', 'Macrophages_MDSC_glandfront_eccentricity', 'Dendritic_Cells_CD86CD33dp_glandfront_eccentricity', 'Neutrophils_glandfront_eccentricity', 'Gland_mesenchymal_intragland_eccentricity', 'Gland_vascular_endothelium_stromal_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'CD8_T_cells_FoxP3+_glandfront_celldistance', 'CD8_T_cells_HLA-DR+_glandfront_celldistance', 'Stroma_fibroblast_glandfront_celldistance', 'NK_cells_CD56brCD16-CD9hi_glandfront_celldistance']",33
Fold 38,"['Macrophages_M1-like_glandfront_area', 'NKT_glandfront_area', 'aSMA-br_mesenchymal_stromal_area', 'Gland_mesenchymal_intragland_eccentricity']",4
Fold 39,"['CD4_T_cells_FoxP3+_stromal_area', 'CD8_T_cells_FoxP3+_intragland_area', 'CD8_T_cells_FoxP3+_stromal_area', 'CD8_T_cells_HLA-DR+_intragland_area', 'CD8_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_area', 'CD8_T_cells_CD11b+_stromal_area', 'Stroma_vascular_endothelium_stromal_area', 'NK_cells_CD56brCD16-_glandfront_area', 'NK_cells_CD56brCD16-_stromal_area', 'NK_cells_CD56dimCD16+_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M1-like_stromal_area', 'Macrophages_M1_M2_stromal_area', 'Macrophages_MDSC_glandfront_area', 'Dendritic_Cells_CD86+_stromal_area', 'Dendritic_Cells_CD86CD33dp_glandfront_area', 'Neutrophils_glandfront_area', 'NKT_glandfront_area', 'aSMA-br_fibroblast_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'Gland_mesenchymal_intragland_area', 'Gland_fibroblast_glandfront_area', 'Gland_vascular_endothelium_glandfront_area', 'NA_glandfront_area', 'CD8_T_cells_FoxP3+_glandfront_eccentricity', 'CD8_T_cells_FoxP3+_stromal_eccentricity', 'CD4_T_cells_HLA-DR+_stromal_eccentricity', 'CD8_T_cells_HLA-DR+_intragland_eccentricity', 'CD8_T_cells_CD80_CD86+_glandfront_eccentricity', 'CD4_T_cells_CD11b+_glandfront_eccentricity', 'CD4_T_cells_CD11b+_stromal_eccentricity', 'CD8_T_cells_CD11b+_stromal_eccentricity', 'Stroma_fibroblast_glandfront_eccentricity', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'NK_cells_CD56dimCD16+CD9hi_intragland_eccentricity', 'Macrophages_MDSC_glandfront_eccentricity', 'Dendritic_Cells_CD86+_glandfront_eccentricity', 'Dendritic_Cells_CD209CD86dp_glandfront_eccentricity', 'Dendritic_Cells_CD209CD86dp_stromal_eccentricity', 'Dendritic_Cells_CD86CD33dp_glandfront_eccentricity', 'Gland_mesenchymal_intragland_eccentricity', 'Gland_fibroblast_intragland_eccentricity', 'NA_glandfront_eccentricity', 'NA_stromal_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'CD8_T_cells_HLA-DR+_glandfront_celldistance', 'CD4_T_cells_CD80_CD86+_glandfront_celldistance', 'CD8_T_cells_CD80_CD86+_glandfront_celldistance', 'CD8_T_cells_CD11b+_glandfront_celldistance', 'NK_cells_CD56dimCD16+CD9hi_glandfront_celldistance', 'NK_cells_CD56brCD16-CD9hi_glandfront_celldistance', 'Macrophages_MDSC_glandfront_celldistance', 'Dendritic_Cells_CD33+_glandfront_celldistance', 'Dendritic_Cells_CD209CD33dp_glandfront_celldistance', 'Neutrophils_glandfront_celldistance', 'NKT_glandfront_celldistance', 'aSMA-br_fibroblast_glandfront_celldistance', 'aSMA-br_vascular_endothelium_glandfront_celldistance', 'Gland_vascular_endothelium_glandfront_celldistance']",62
Fold 40,"['CD8_T_cells_FoxP3+_intragland_area', 'CD4_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_HLA-DR+_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'CD8_T_cells_CD11b+_glandfront_area', 'NK_cells_CD56brCD16-_stromal_area', 'NK_cells_CD56dimCD16+_glandfront_area', 'NK_cells_CD56dimCD16+_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M1_M2_stromal_area', 'Dendritic_Cells_CD86CD33dp_glandfront_area', 'Neutrophils_glandfront_area', 'NKT_glandfront_area', 'aSMA-br_fibroblast_glandfront_area', 'Gland_fibroblast_glandfront_area', 'Gland_vascular_endothelium_glandfront_area', 'NA_glandfront_area', 'CD4_T_cells_HLA-DR+_stromal_eccentricity', 'CD8_T_cells_HLA-DR+_intragland_eccentricity', 'CD4_T_cells_CD80_CD86+_stromal_eccentricity', 'CD4_T_cells_CD11b+_stromal_eccentricity', 'Stroma_fibroblast_glandfront_eccentricity', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'Dendritic_Cells_CD86CD33dp_glandfront_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'CD8_T_cells_CD80_CD86+_glandfront_celldistance', 'Dendritic_Cells_CD33+_glandfront_celldistance', 'Dendritic_Cells_CD209CD86dp_glandfront_celldistance', 'Dendritic_Cells_CD209CD33dp_glandfront_celldistance']",29
Fold 41,"['Macrophages_M1_M2_stromal_area', 'Macrophages_MDSC_glandfront_eccentricity']",2
Fold 42,"['CD8_T_cells_HLA-DR+_stromal_area', 'NKT_glandfront_area', 'Macrophages_MDSC_glandfront_eccentricity']",3
Fold 43,"['CD8_T_cells_FoxP3+_intragland_area', 'CD8_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_area', 'CD8_T_cells_CD11b+_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Dendritic_Cells_CD86+_intragland_area', 'Neutrophils_glandfront_area', 'NKT_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'Gland_fibroblast_glandfront_area', 'Gland_vascular_endothelium_glandfront_area', 'Stroma_fibroblast_glandfront_eccentricity', 'Macrophages_MDSC_glandfront_eccentricity', 'Dendritic_Cells_CD86CD33dp_glandfront_eccentricity', 'Gland_mesenchymal_intragland_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'CD8_T_cells_CD80_CD86+_glandfront_celldistance', 'NK_cells_CD56brCD16-CD9hi_glandfront_celldistance', 'Dendritic_Cells_CD86+_glandfront_celldistance']",20
Fold 44,"['CD8_T_cells_HLA-DR+_stromal_area', 'NKT_glandfront_area', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",3
Fold 45,"['CD8_T_cells_FoxP3+_intragland_area', 'CD8_T_cells_FoxP3+_stromal_area', 'CD4_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_HLA-DR+_intragland_area', 'CD8_T_cells_HLA-DR+_stromal_area', 'CD4_T_cells_CD80_CD86+_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_area', 'CD8_T_cells_CD11b+_glandfront_area', 'CD8_T_cells_CD11b+_stromal_area', 'Stroma_vascular_endothelium_glandfront_area', 'Stroma_vascular_endothelium_stromal_area', 'Stroma_fibroblast_glandfront_area', 'NK_cells_CD56brCD16-_glandfront_area', 'NK_cells_CD56dimCD16+_glandfront_area', 'NK_cells_CD56dimCD16+_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'NK_cells_CD56brCD16-CD9hi_glandfront_area', 'NK_cells_CD56brCD16-CD9hi_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M1-like_stromal_area', 'Macrophages_M1_M2_glandfront_area', 'Macrophages_M1_M2_stromal_area', 'Macrophages_MDSC_glandfront_area', 'Dendritic_Cells_CD86+_intragland_area', 'Dendritic_Cells_CD86CD33dp_glandfront_area', 'Neutrophils_glandfront_area', 'NKT_glandfront_area', 'aSMA-br_fibroblast_glandfront_area', 'aSMA-br_mesenchymal_stromal_area', 'NA_glandfront_area', 'CD4_T_cells_FoxP3+_stromal_eccentricity', 'CD8_T_cells_FoxP3+_stromal_eccentricity', 'CD4_T_cells_HLA-DR+_glandfront_eccentricity', 'CD4_T_cells_HLA-DR+_stromal_eccentricity', 'CD8_T_cells_HLA-DR+_intragland_eccentricity', 'CD8_T_cells_CD80_CD86+_glandfront_eccentricity', 'CD8_T_cells_CD80_CD86+_intragland_eccentricity', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'CD8_T_cells_CD11b+_glandfront_eccentricity', 'CD8_T_cells_CD11b+_stromal_eccentricity', 'Stroma_vascular_endothelium_stromal_eccentricity', 'Stroma_fibroblast_glandfront_eccentricity', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'NK_cells_CD56dimCD16+CD9hi_intragland_eccentricity', 'Macrophages_M2-like_glandfront_eccentricity', 'Macrophages_MDSC_glandfront_eccentricity', 'Dendritic_Cells_CD209CD86dp_stromal_eccentricity', 'Dendritic_Cells_CD86CD33dp_glandfront_eccentricity', 'Dendritic_Cells_CD86CD33dp_stromal_eccentricity', 'aSMA-br_fibroblast_glandfront_eccentricity', 'Gland_mesenchymal_intragland_eccentricity', 'Gland_fibroblast_intragland_eccentricity', 'Gland_vascular_endothelium_stromal_eccentricity', 'NA_glandfront_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'CD8_T_cells_FoxP3+_glandfront_celldistance', 'CD8_T_cells_HLA-DR+_glandfront_celldistance', 'CD8_T_cells_CD80_CD86+_glandfront_celldistance', 'CD4_T_cells_CD11b+_glandfront_celldistance', 'Stroma_vascular_endothelium_glandfront_celldistance', 'NK_cells_CD56brCD16-CD9hi_glandfront_celldistance', 'Macrophages_MDSC_glandfront_celldistance', 'Dendritic_Cells_CD33+_glandfront_celldistance', 'Dendritic_Cells_CD209CD86dp_glandfront_celldistance', 'NKT_glandfront_celldistance', 'aSMA-br_fibroblast_glandfront_celldistance', 'Gland_fibroblast_glandfront_celldistance']",67
Fold 46,"['CD8_T_cells_HLA-DR+_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Stroma_vascular_endothelium_glandfront_area', 'Stroma_vascular_endothelium_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M1_M2_glandfront_area', 'Macrophages_M1_M2_stromal_area', 'Dendritic_Cells_CD86CD33dp_glandfront_area', 'NKT_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'Gland_vascular_endothelium_glandfront_area', 'NA_glandfront_area', 'CD8_T_cells_HLA-DR+_intragland_eccentricity', 'Macrophages_MDSC_glandfront_eccentricity', 'Dendritic_Cells_CD86CD33dp_glandfront_eccentricity', 'Gland_mesenchymal_intragland_eccentricity', 'Gland_fibroblast_intragland_eccentricity', 'Dendritic_Cells_CD33+_glandfront_celldistance', 'Dendritic_Cells_CD86CD33dp_glandfront_celldistance']",19
Fold 47,"['CD4_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_glandfront_area', 'Neutrophils_glandfront_area', 'NKT_glandfront_area', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",6
Fold 48,"['CD8_T_cells_HLA-DR+_stromal_area', 'NKT_glandfront_area', 'CD4_T_cells_HLA-DR+_stromal_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",4
Fold 49,"['NKT_glandfront_area', 'CD4_T_cells_HLA-DR+_stromal_eccentricity', 'Stroma_fibroblast_glandfront_eccentricity']",3
Fold 50,"['CD4_T_cells_HLA-DR+_stromal_area', 'NKT_glandfront_area', 'NA_glandfront_area', 'CD4_T_cells_HLA-DR+_stromal_eccentricity', 'Stroma_fibroblast_glandfront_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'Dendritic_Cells_CD33+_glandfront_celldistance']",7
Fold 51,"['CD8_T_cells_FoxP3+_glandfront_area', 'CD8_T_cells_FoxP3+_intragland_area', 'CD4_T_cells_HLA-DR+_glandfront_area', 'CD4_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_area', 'CD8_T_cells_CD11b+_stromal_area', 'Stroma_vascular_endothelium_glandfront_area', 'NK_cells_CD56brCD16-_glandfront_area', 'NK_cells_CD56brCD16-_stromal_area', 'NK_cells_CD56dimCD16+_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_glandfront_area', 'NK_cells_CD56brCD16-CD9hi_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M1-like_stromal_area', 'Macrophages_M1_M2_stromal_area', 'Macrophages_MDSC_stromal_area', 'Dendritic_Cells_CD86+_intragland_area', 'Dendritic_Cells_CD33+_intragland_area', 'Dendritic_Cells_CD86CD33dp_glandfront_area', 'Neutrophils_glandfront_area', 'NKT_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'Gland_glandular_epithelium_intragland_area', 'Gland_fibroblast_glandfront_area', 'Gland_vascular_endothelium_glandfront_area', 'NA_glandfront_area', 'NA_stromal_area', 'CD8_T_cells_FoxP3+_glandfront_eccentricity', 'CD4_T_cells_HLA-DR+_glandfront_eccentricity', 'CD4_T_cells_HLA-DR+_stromal_eccentricity', 'CD8_T_cells_HLA-DR+_intragland_eccentricity', 'CD4_T_cells_CD80_CD86+_glandfront_eccentricity', 'CD4_T_cells_CD80_CD86+_stromal_eccentricity', 'CD8_T_cells_CD80_CD86+_glandfront_eccentricity', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'CD4_T_cells_CD11b+_glandfront_eccentricity', 'Stroma_fibroblast_glandfront_eccentricity', 'NK_cells_CD56dimCD16+CD9hi_intragland_eccentricity', 'Macrophages_MDSC_glandfront_eccentricity', 'Dendritic_Cells_CD86+_glandfront_eccentricity', 'Dendritic_Cells_CD86+_intragland_eccentricity', 'Dendritic_Cells_CD33+_stromal_eccentricity', 'Dendritic_Cells_CD86CD33dp_glandfront_eccentricity', 'Neutrophils_glandfront_eccentricity', 'aSMA-br_mesenchymal_glandfront_eccentricity', 'Gland_mesenchymal_intragland_eccentricity', 'Gland_fibroblast_intragland_eccentricity', 'Gland_vascular_endothelium_stromal_eccentricity', 'NA_glandfront_eccentricity', 'NA_stromal_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'CD8_T_cells_FoxP3+_glandfront_celldistance', 'CD8_T_cells_HLA-DR+_glandfront_celldistance', 'CD4_T_cells_CD80_CD86+_glandfront_celldistance', 'CD4_T_cells_CD11b+_glandfront_celldistance', 'Stroma_fibroblast_glandfront_celldistance', 'NK_cells_CD56brCD16-_glandfront_celldistance', 'NK_cells_CD56brCD16-CD9hi_glandfront_celldistance', 'Macrophages_M2-like_glandfront_celldistance', 'Dendritic_Cells_CD33+_glandfront_celldistance', 'Dendritic_Cells_CD209CD86dp_glandfront_celldistance', 'Dendritic_Cells_CD86CD33dp_glandfront_celldistance', 'Neutrophils_glandfront_celldistance', 'NKT_glandfront_celldistance', 'Gland_vascular_endothelium_glandfront_celldistance']",66
Fold 52,"['CD4_T_cells_HLA-DR+_stromal_area', 'NK_cells_CD56brCD16-_stromal_area', 'NK_cells_CD56brCD16-CD9hi_stromal_area', 'Macrophages_M1_M2_stromal_area', 'NKT_glandfront_area', 'Dendritic_Cells_CD33+_glandfront_celldistance', 'Gland_vascular_endothelium_glandfront_celldistance']",7
Fold 53,"['NK_cells_CD56brCD16-TIM3hi_stromal_area', 'Macrophages_M1_M2_stromal_area', 'NKT_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'Stroma_fibroblast_glandfront_eccentricity']",5
